Wall time,Step,Value
1621970737.9099653,18,0.5076595544815063
1621970762.2787917,42,0.5771878957748413
1621970764.8662925,45,0.5748386383056641
1621970786.572738,71,0.5529729127883911
1621970803.5589116,94,0.3919859528541565
1621971001.9120345,155,0.3163127899169922
1621971003.2590172,158,0.3894186019897461
1621971009.9106076,167,0.42984503507614136
1621971185.7853148,229,0.3640094995498657
1621971189.535664,234,0.3744109272956848
1621971202.4138355,255,0.4174357056617737
1621971210.143962,267,0.3541852831840515
1621971215.0038488,273,0.41837483644485474
1621971364.1432002,308,0.33208441734313965
1621971365.4043844,310,0.26435327529907227
1621971370.937836,318,0.43620556592941284
1621971389.6141398,347,0.447243869304657
1621971405.2446377,367,0.556198000907898
1621971563.4323673,421,0.3597213625907898
1621971592.3215435,460,0.41212111711502075
1621971603.9196012,474,0.28981131315231323
1621971762.1045122,536,0.2777230143547058
1621971785.0658083,563,0.547654390335083
1621971796.0217736,579,0.2958877682685852
1621971801.7547414,586,0.4125407338142395
1621971802.129562,587,0.2747843861579895
1621971941.6907659,620,0.5512555837631226
1621971950.4577768,634,0.3304428458213806
1621971959.9911258,647,0.381527304649353
1621971969.5978944,661,0.2784215807914734
1621971978.2586706,671,0.32535552978515625
1621972131.96034,714,0.16293781995773315
1621972138.3586366,722,0.4238681197166443
1621972145.1682196,730,0.5395950078964233
1621972168.0695956,765,0.2795642018318176
1621972170.4019594,769,0.4108507037162781
1621972172.3236666,771,0.20553559064865112
1621972182.6143842,785,0.5614326000213623
1621972184.9556508,787,0.2754630446434021
1621972189.917037,794,0.4094316363334656
1621972318.7030423,802,0.32125353813171387
1621972322.6896713,808,0.30350780487060547
1621972345.3308904,836,0.27771860361099243
1621972534.5184991,945,0.5370086431503296
1621972553.7328568,971,0.4349125027656555
1621972554.095218,972,0.3901074528694153
1621972557.2071502,978,0.1444280743598938
1621972561.5778534,984,0.5585485696792603
1621972697.928567,1002,0.551081657409668
1621972700.221851,1005,0.4165928363800049
1621972708.0682325,1014,0.41503238677978516
1621972742.7199693,1063,0.4067865014076233
1621972744.4420033,1066,0.4562240242958069
1621972753.6115012,1078,0.37755781412124634
1621972765.7817993,1093,0.05356079339981079
1621972769.307117,1099,0.19427365064620972
1621972889.680022,1104,0.0831713080406189
1621972925.7471752,1156,0.24059373140335083
1621972929.7199857,1161,0.22441530227661133
1621972930.2021527,1162,0.19056516885757446
1621972942.6638153,1180,0.20783895254135132
1621972951.642355,1193,0.25990819931030273
1621973100.9915597,1244,0.08628708124160767
1621973111.6961045,1261,0.34178799390792847
1621973263.2781136,1316,0.34892916679382324
1621973265.9876983,1319,0.2470739483833313
1621973275.4056382,1333,0.38382452726364136
1621973277.55792,1337,0.04574865102767944
1621973313.2397835,1385,0.0648760199546814
1621973317.6981585,1392,0.17969316244125366
1621973447.2528067,1414,0.3176118731498718
1621973456.3047168,1426,0.3516678214073181
1621973462.5459359,1436,0.2252013087272644
1621973481.0613632,1466,0.188690185546875
1621973488.7657704,1477,0.030596494674682617
1621973499.9138966,1491,0.22516894340515137
1621973635.5903118,1523,0.06252908706665039
1621973655.5768492,1552,0.3805040717124939
1621973669.8002722,1568,0.24941235780715942
1621973683.0408201,1584,0.23252838850021362
1621973686.6560225,1588,0.19242382049560547
1621973816.8020093,1605,0.3920132517814636
1621973844.065246,1640,0.1942165493965149
1621973872.9785051,1682,0.0400691032409668
1621973879.0717103,1691,0.30453771352767944
1621974001.5114398,1702,0.06510525941848755
1621974006.4959667,1709,0.1490529179573059
1621974011.6317055,1718,0.34640806913375854
1621974021.928151,1732,0.17493319511413574
1621974022.8342128,1734,0.39845842123031616
1621974024.635823,1737,0.17815184593200684
1621974057.4999616,1781,0.2812226414680481
1621974213.573825,1826,0.3459851145744324
1621974225.9245822,1844,0.35883063077926636
1621974232.2093494,1853,0.525870680809021
1621974243.5873818,1866,0.28121089935302734
1621974247.2891638,1869,0.05197209119796753
1621974254.250662,1877,0.05917483568191528
1621974395.2101495,1917,0.21797019243240356
1621974406.888043,1934,0.20110100507736206
1621974413.3201654,1944,0.3437139391899109
1621974414.9432719,1947,0.04677027463912964
1621974560.5393002,2001,0.09737515449523926
1621974568.7789323,2013,0.20110267400741577
1621974585.927199,2036,0.18910199403762817
1621974615.1333485,2073,0.19451838731765747
1621974617.222042,2076,0.18904972076416016
1621974617.604849,2077,0.516207218170166
1621974624.1466458,2085,0.350846529006958
1621974626.8967288,2089,0.36423546075820923
1621974631.516256,2096,0.06088399887084961
1621974784.7114272,2149,0.33345478773117065
1621974789.7346542,2156,0.04041796922683716
1621974816.5626228,2187,0.2175443172454834
1621974819.5178788,2191,0.22531861066818237
1621974823.969522,2199,0.03924065828323364
1621974941.3247995,2207,0.3599225878715515
1621974944.3128135,2211,0.18736523389816284
1621974958.4830372,2231,0.19361019134521484
1621974962.3178148,2236,0.3491971492767334
1621974962.6827548,2237,0.2775540351867676
1621974976.1909287,2257,0.18204045295715332
