Wall time,Step,Value
1621970751.4400206,18,0.6641687154769897
1621970764.78037,42,0.5171133279800415
1621970765.9152207,45,0.6534078121185303
1621970780.6461878,71,0.5565780401229858
1621970792.542514,94,0.5357553958892822
1621970971.3905873,155,0.3952248692512512
1621970972.8442986,158,0.44132518768310547
1621970976.8888915,167,0.34690308570861816
1621971138.6652808,229,0.35664480924606323
1621971141.5481417,234,0.3188657760620117
1621971154.4005644,255,0.3507435917854309
1621971161.3534977,267,0.2585258483886719
1621971163.8060222,273,0.31121331453323364
1621971307.4406776,308,0.340004026889801
1621971308.5781314,310,0.3496081233024597
1621971314.764859,318,0.4318827986717224
1621971333.6783686,347,0.4299066662788391
1621971346.748949,367,0.3197556138038635
1621971483.9976645,421,0.5790994167327881
1621971506.8581908,460,0.28434163331985474
1621971515.128774,474,0.5416465997695923
1621971681.731349,536,0.5567481517791748
1621971699.3648593,563,0.2057611346244812
1621971711.756998,579,0.15802079439163208
1621971716.554716,586,0.2665289044380188
1621971716.9343338,587,0.19100618362426758
1621971854.6875496,620,0.26666027307510376
1621971863.281921,634,0.4050266742706299
1621971871.7507243,647,0.4139609932899475
1621971880.8268573,661,0.29166460037231445
1621971885.5798323,671,0.39711993932724
1621972027.189225,714,0.2733733057975769
1621972031.9674363,722,0.41226428747177124
1621972037.8404262,730,0.18955326080322266
1621972059.3970478,765,0.3629911541938782
1621972063.973167,769,0.23786181211471558
1621972064.698338,771,0.3291642665863037
1621972073.5836892,785,0.28759765625
1621972074.6180048,787,0.33553433418273926
1621972079.270039,794,0.2873919606208801
1621972214.3097534,802,0.32207661867141724
1621972218.6415331,808,0.4029461145401001
1621972237.8987923,836,0.27539634704589844
1621972428.8793328,945,0.2432900071144104
1621972444.3256078,971,0.4049646258354187
1621972445.5505674,972,0.24891740083694458
1621972448.3008294,978,0.26787465810775757
1621972452.0994077,984,0.28312140703201294
1621972598.7691786,1002,0.3021546006202698
1621972600.7343128,1005,0.41383230686187744
1621972607.1799703,1014,0.2922654151916504
1621972633.9656036,1063,0.3798345923423767
1621972635.7832565,1066,0.3681027889251709
1621972644.9932756,1078,0.37881040573120117
1621972654.2224283,1093,0.43807387351989746
1621972657.075289,1099,0.5306953191757202
1621972793.11413,1104,0.20674800872802734
1621972824.393853,1156,0.23874086141586304
1621972827.7244651,1161,0.34734368324279785
1621972828.1487784,1162,0.22175246477127075
1621972837.6812894,1180,0.1327066421508789
1621972845.8287222,1193,0.20396804809570312
1621973005.0679417,1244,0.19208210706710815
1621973017.1431935,1261,0.1993892788887024
1621973185.3959703,1316,0.20188039541244507
1621973188.1312022,1319,0.2102036476135254
1621973196.6271465,1333,0.18715143203735352
1621973200.1232438,1337,0.17807811498641968
1621973229.9025738,1385,0.08165949583053589
1621973235.9651558,1392,0.2530245780944824
1621973373.4291394,1414,0.18182915449142456
1621973379.440934,1426,0.18357610702514648
1621973384.9935737,1436,0.06329995393753052
1621973402.9452894,1466,0.21211624145507812
1621973409.0174515,1477,0.18155604600906372
1621973418.0005593,1491,0.34659332036972046
1621973568.948785,1523,0.16431266069412231
1621973587.8012352,1552,0.067596435546875
1621973599.021624,1568,0.05669432878494263
1621973610.0887077,1584,0.3481125831604004
1621973613.0758827,1588,0.21350878477096558
1621973759.8748033,1605,0.34050804376602173
1621973782.5609958,1640,0.18669366836547852
1621973805.4502478,1682,0.027969419956207275
1621973810.1539714,1691,0.05406522750854492
1621973941.3271403,1702,0.1890125274658203
1621973945.531111,1709,0.22194904088974
1621973949.7940972,1718,0.059015512466430664
1621973957.6848783,1732,0.1835191249847412
1621973959.0139856,1734,0.12008887529373169
1621973960.5360858,1737,0.0601353645324707
1621973986.9452827,1781,0.1782957911491394
1621974155.16193,1826,0.1779044270515442
1621974166.002231,1844,0.3456825613975525
1621974172.8392181,1853,0.19779163599014282
1621974179.7572815,1866,0.38277608156204224
1621974181.1717885,1869,0.5116416215896606
1621974186.0509312,1877,0.2011878490447998
1621974330.268307,1917,0.0767359733581543
1621974341.2550046,1934,0.10453635454177856
1621974348.0314724,1944,0.3525359034538269
1621974350.4888506,1947,0.38705986738204956
1621974513.8619123,2001,0.20093470811843872
1621974522.21217,2013,0.3401196002960205
1621974538.1699119,2036,0.20151138305664062
1621974569.960897,2076,0.313066303730011
1621974570.3110118,2077,0.40991348028182983
1621974577.0436673,2085,0.18006277084350586
1621974580.99282,2089,0.10059124231338501
1621974585.1368203,2096,0.20177632570266724
1621974758.9096823,2149,0.20678716897964478
1621974763.2373607,2156,0.33676642179489136
1621974782.6538763,2187,0.20886927843093872
1621974786.4294813,2191,0.18500012159347534
1621974791.0799227,2199,0.20650500059127808
1621974925.2481678,2207,0.03211188316345215
1621974927.7785344,2211,0.23558902740478516
1621974941.3458354,2231,0.04718238115310669
1621974943.6976025,2236,0.2482348084449768
1621974944.6547134,2237,0.2061712145805359
1621974957.2085817,2257,0.1933709979057312
1621974962.3107288,2262,0.0823102593421936
1621974974.9040012,2281,0.20027226209640503
1621974986.5961735,2297,0.34359604120254517
1621975126.7550266,2307,0.34019559621810913
1621975136.7033682,2319,0.1802094578742981
1621975157.5557034,2345,0.24550467729568481
1621975164.4836304,2354,0.03065270185470581
1621975193.6512227,2389,0.36504727602005005
1621975194.3003914,2390,0.18686580657958984
1621975196.3693442,2392,0.3879156708717346
1621975367.6797395,2436,0.2227688431739807
1621975372.9907863,2444,0.02540212869644165
1621975378.8883235,2453,0.20164966583251953
1621975379.7661402,2455,0.030110836029052734
1621975383.9952362,2460,0.34847885370254517
1621975398.6879952,2485,0.34226131439208984
1621975399.195662,2486,0.05962139368057251
1621975406.9590409,2496,0.1822826862335205
1621975408.2572222,2498,0.09189873933792114
1621975550.275954,2503,0.3471655249595642
1621975559.2348833,2517,0.3515622019767761
1621975565.896881,2523,0.3380526900291443
1621975573.901702,2532,0.3624221682548523
1621975585.508365,2547,0.5061193704605103
1621975591.2873974,2553,0.04401993751525879
1621975760.6888297,2606,0.045044898986816406
1621975821.605934,2685,0.2242887020111084
1621975966.997632,2703,0.18038511276245117
1621975994.1054122,2740,0.04970639944076538
1621976003.1779811,2754,0.3423735499382019
1621976035.1138506,2789,0.3347751498222351
1621976240.044398,2872,0.34504181146621704
1621976258.8393323,2896,0.5083167552947998
1621976424.5131037,2967,0.4160376191139221
1621976431.6527739,2975,0.20310592651367188
1621976601.1934857,3011,0.34624236822128296
1621976624.1635447,3038,0.18854141235351562
1621976625.898777,3041,0.03275012969970703
1621976675.5797758,3099,0.20786374807357788
1621976861.585442,3161,0.3511982560157776
1621976872.1442242,3177,0.34056907892227173
1621976885.2518377,3195,0.23289519548416138
1621976886.1869624,3196,0.02430516481399536
1621977053.2982728,3230,0.3422197699546814
1621977061.1321628,3240,0.08274966478347778
1621977063.6511059,3243,0.17848998308181763
1621977064.4662626,3244,0.19692867994308472
1621977066.1915712,3246,0.040875375270843506
1621977066.6603127,3247,0.350371778011322
1621977262.9739277,3305,0.35995668172836304
1621977297.1303048,3345,0.18003970384597778
1621977326.8527157,3376,0.03278142213821411
1621977489.0081244,3403,0.5063124895095825
1621977492.0634954,3408,0.1780053973197937
1621977508.3652601,3430,0.35151588916778564
1621977523.939672,3449,0.2189781665802002
1621977535.9220424,3464,0.19259613752365112
1621977549.8621655,3480,0.5019497871398926
1621977710.0754209,3509,0.0507504940032959
1621977711.6527529,3512,0.19826841354370117
1621977733.282753,3537,0.19855743646621704
1621977913.468528,3600,0.03301572799682617
1621977926.301219,3618,0.19132596254348755
1621977929.2529778,3620,0.3675979971885681
1621977930.0508287,3622,0.19090747833251953
1621977934.4107802,3628,0.3512997031211853
1621977957.762663,3656,0.34669989347457886
1621977969.6513994,3670,0.3495514988899231
1621978138.4306028,3726,0.5126732587814331
1621978141.5575643,3730,0.04192382097244263
1621978149.2562313,3741,0.1828010082244873
1621978190.6367552,3793,0.17746639251708984
1621978337.811887,3814,0.20247244834899902
1621978341.279188,3819,0.1855047345161438
1621978344.5165575,3821,0.5049676895141602
1621978350.1736305,3831,0.18087750673294067
1621978379.8919168,3864,0.06281787157058716
1621978388.8249412,3876,0.3657587766647339
1621978551.152047,3928,0.34076976776123047
1621978570.2747178,3956,0.08980005979537964
1621978592.322096,3984,0.35842758417129517
1621978754.6025457,4022,0.04544401168823242
1621978762.826285,4033,0.18110066652297974
1621978764.8631852,4036,0.18187028169631958
1621978809.8209205,4093,0.34785765409469604
1621978815.5043778,4098,0.20400214195251465
1621978958.6728523,4109,0.021283388137817383
1621979016.6960843,4182,0.2149968147277832
1621979025.9471328,4194,0.2880522608757019
1621979027.273448,4196,0.3394595980644226
1621979147.6926968,4201,0.358173668384552
1621979148.088189,4202,0.33951014280319214
1621979167.1215093,4227,0.20225673913955688
1621979169.7013662,4232,0.18743181228637695
1621979171.6421387,4235,0.18024569749832153
1621979177.9850924,4243,0.18469452857971191
1621979191.9729464,4263,0.01687908172607422
1621979195.248234,4266,0.03498047590255737
1621979208.214822,4282,0.05211305618286133
1621979356.3447027,4304,0.03857421875
1621979368.0615578,4317,0.1856708526611328
1621979368.9872382,4319,0.34624361991882324
1621979411.6053355,4369,0.3434292674064636
1621979432.7468503,4393,0.17551666498184204
1621979554.81591,4400,0.18288356065750122
1621979559.3051026,4406,0.02487426996231079
1621979577.51712,4430,0.1809072494506836
1621979579.5784152,4433,0.19467991590499878
1621979624.47272,4492,0.19501018524169922
1621979774.3065042,4509,0.04590481519699097
1621979793.6435761,4530,0.03138357400894165
1621979836.4107854,4578,0.20145100355148315
1621979840.084596,4581,0.020095884799957275
1621979855.8258498,4597,0.06181830167770386
1621979997.6483352,4628,0.31644171476364136
1621980020.4114785,4656,0.26971834897994995
1621980027.0074365,4664,0.32429075241088867
1621980030.643162,4668,0.18266290426254272
1621980037.8923082,4676,0.06953555345535278
1621980181.2025137,4713,0.06890487670898438
1621980184.7116785,4718,0.013256728649139404
1621980212.3885853,4750,0.3439362645149231
1621980218.3421621,4758,0.20156550407409668
1621980228.0775256,4767,0.04335498809814453
1621980243.9749572,4788,0.06958800554275513
1621980374.4395065,4800,0.036714255809783936
1621980375.216552,4802,0.17750173807144165
1621980405.6921043,4840,0.35460418462753296
1621980415.89353,4852,0.03195309638977051
1621980451.4285476,4894,0.1827855110168457
1621980630.803951,4962,0.05901050567626953
1621980636.7681892,4971,0.2079678177833557
1621980638.4545598,4974,0.1914372444152832
1621980827.0009618,5050,0.3528117537498474
1621980828.6409507,5052,0.19131869077682495
1621980829.002888,5053,0.07056111097335815
1621981010.1202672,5106,0.025004804134368896
1621981031.5491326,5134,0.20011252164840698
1621981208.4976532,5200,0.2147999405860901
1621981234.9945118,5239,0.18355101346969604
1621981274.8327737,5289,0.19964599609375
1621981441.2331095,5329,0.20711570978164673
1621981453.0504372,5345,0.1439855694770813
1621981466.3976722,5359,0.31162095069885254
1621981636.6592376,5420,0.500700831413269
1621981654.6969924,5442,0.3372093439102173
1621981695.0696533,5495,0.3808949589729309
1621981832.219147,5515,0.02291393280029297
1621981833.9099362,5517,0.10321122407913208
1621981860.8445232,5549,0.03768128156661987
1621981877.254303,5573,0.18073201179504395
1621981892.1512568,5587,0.20837044715881348
1621982047.4418004,5630,0.04642850160598755
1621982069.6925688,5658,0.34709614515304565
1621982072.5887728,5660,0.03586125373840332
1621982075.1491811,5664,0.17993873357772827
1621982087.122931,5679,0.1854119896888733
1621982237.9238594,5720,0.030685901641845703
1621982239.7509017,5723,0.1949560046195984
1621982279.3901727,5776,0.026419878005981445
1621982436.3569272,5807,0.053690433502197266
1621982437.198862,5808,0.5030171871185303
1621982450.3230278,5825,0.18617457151412964
1621982451.9835987,5828,0.18751734495162964
1621982481.1046393,5862,0.04621618986129761
1621982482.7639086,5864,0.18044614791870117
1621982490.171511,5871,0.33791840076446533
1621982649.3401735,5907,0.19805115461349487
1621982664.6980846,5928,0.16757726669311523
1621982683.330278,5952,0.21661406755447388
1621982686.3026078,5957,0.06101274490356445
1621982691.1786273,5963,0.5073839426040649
1621982712.1564007,5990,0.36087965965270996
1621982861.0261347,6010,0.3371082544326782
1621982864.0392034,6015,0.34148716926574707
1621982875.3246133,6030,0.512511134147644
1621982878.6675165,6035,0.4132084250450134
1621982915.4016778,6078,0.34744352102279663
1621983072.9558864,6103,0.18598008155822754
1621983073.6915438,6105,0.2245287299156189
1621983087.65838,6121,0.20575398206710815
1621983094.3318548,6131,0.08482170104980469
1621983137.5908492,6181,0.3588821291923523
1621983272.5521207,6200,0.04077953100204468
1621983280.2555032,6213,0.04605311155319214
1621983284.4191885,6219,0.18164366483688354
1621983295.1553748,6232,0.1844947338104248
1621983338.3203874,6289,0.19858640432357788
1621983488.9204671,6312,0.18774086236953735
1621983492.0773847,6317,0.04045158624649048
